"metaGT","station","M","outlier"
"metaG",7,70375517,0
"metaG",11,76993120,0
"metaG",18,70038642,0
"metaG",22,39856317,0
"metaG",23,59882088,0
"metaG",25,50068652,0
"metaG",26,56431794,1
"metaG",30,68788566,0
"metaG",36,35408141,1
"metaG",38,32017540,0
"metaG",39,52547836,0
"metaG",41,32981838,0
"metaG",46,23853939,1
"metaG",51,48126171,0
"metaG",52,42508509,0
"metaG",64,48103204,0
"metaG",65,46068685,0
"metaG",66,54444162,0
"metaG",67,44672462,0
"metaG",68,54128190,0
"metaG",70,60005086,0
"metaG",72,46874414,0
"metaG",76,69315963,0
"metaG",78,28841942,0
"metaG",80,44537243,0
"metaG",81,28611057,0
"metaG",82,32533906,0
"metaG",84,15193989,0
"metaG",85,40581202,0
"metaG",92,28312795,0
"metaG",98,45650813,0
"metaG",100,57889231,0
"metaG",102,52122925,0
"metaG",109,40973643,0
"metaG",110,47928990,0
"metaG",111,52554542,0
"metaG",122,57287602,1
"metaG",123,87403507,0
"metaG",124,88581457,1
"metaG",125,144641979,0
"metaG",128,82962396,1
"metaG",131,48703496,0
"metaG",132,69404893,0
"metaG",135,32581847,1
"metaG",136,76630535,0
"metaG",137,54123699,0
"metaG",138,58896707,0
"metaG",142,36275613,0
"metaG",143,57522508,0
"metaG",144,66081746,0
"metaG",145,54920997,0
"metaG",146,51197724,0
"metaG",147,53520780,0
"metaG",148,62998515,0
"metaG",149,59354423,0
"metaG",150,78388151,0
"metaG",151,53974350,0
"metaG",152,64997749,0
"metaG",155,52483061,0
"metaG",158,43778461,0
"metaG",168,34021769,0
"metaG",173,37404558,0
"metaG",175,61513135,0
"metaG",178,47122729,0
"metaG",180,56070472,0
"metaG",188,59878440,0
"metaG",189,40457762,0
"metaG",191,64659148,0
"metaG",193,20277836,0
"metaG",194,36649122,0
"metaG",196,31520781,0
"metaG",201,40303980,0
"metaG",205,53640641,0
"metaG",206,67874491,0
"metaG",208,68092069,0
"metaG",209,37971047,0
"metaG",210,23839960,0
"metaT",7,141043461,0
"metaT",11,67865259,0
"metaT",18,161963853,0
"metaT",22,84494426,0
"metaT",23,258466335,0
"metaT",25,208785612,0
"metaT",26,34422426,1
"metaT",30,166432700,0
"metaT",36,43946310,1
"metaT",38,285796191,0
"metaT",39,199855993,0
"metaT",41,264275628,0
"metaT",46,50301906,1
"metaT",51,67098231,0
"metaT",52,219539915,0
"metaT",64,153363345,0
"metaT",65,235447665,0
"metaT",66,251250666,0
"metaT",67,279239477,0
"metaT",68,277654876,0
"metaT",70,323791123,0
"metaT",72,224198679,0
"metaT",76,166548125,0
"metaT",78,84873220,0
"metaT",80,222499632,0
"metaT",81,231311021,0
"metaT",82,98599991,0
"metaT",84,218846443,0
"metaT",85,296829359,0
"metaT",92,197288746,0
"metaT",98,250856796,0
"metaT",100,111612026,0
"metaT",102,268499034,0
"metaT",109,290285055,0
"metaT",110,221683712,0
"metaT",111,235053122,0
"metaT",122,21812529,1
"metaT",123,324276164,0
"metaT",124,48894247,1
"metaT",125,83886262,0
"metaT",128,49322651,1
"metaT",131,169795766,0
"metaT",132,260164142,0
"metaT",135,14635268,1
"metaT",136,243882595,0
"metaT",137,303282780,0
"metaT",138,293625292,0
"metaT",142,120816556,0
"metaT",143,236885662,0
"metaT",144,68054638,0
"metaT",145,122853693,0
"metaT",146,247812194,0
"metaT",147,277697475,0
"metaT",148,247981739,0
"metaT",149,161639439,0
"metaT",150,238723711,0
"metaT",151,253933380,0
"metaT",152,265880353,0
"metaT",155,287153244,0
"metaT",158,227908079,0
"metaT",168,206666155,0
"metaT",173,243310867,0
"metaT",175,270087625,0
"metaT",178,237325147,0
"metaT",180,309442650,0
"metaT",188,178650440,0
"metaT",189,306642870,0
"metaT",191,230970748,0
"metaT",193,200297986,0
"metaT",194,288317420,0
"metaT",196,282989987,0
"metaT",201,257148716,0
"metaT",205,199263369,0
"metaT",206,245669676,0
"metaT",208,265680534,0
"metaT",209,266004991,0
"metaT",210,276769565,0
