"metaGT","station","M","outlier"
"metaG",7,116567.975038831,0
"metaG",11,128327.542592446,0
"metaG",18,114870.614065056,0
"metaG",22,73311.6733817236,0
"metaG",23,103549.175575784,0
"metaG",25,86102.4633196346,0
"metaG",26,97795.9436097557,1
"metaG",30,115290.529504673,0
"metaG",36,56908.3388404511,1
"metaG",38,48680.4727834519,0
"metaG",39,80776.4690177596,0
"metaG",41,56673.420546924,0
"metaG",46,42443.1043167487,1
"metaG",51,77989.9420391103,0
"metaG",52,70537.728034104,0
"metaG",64,81616.9824806936,0
"metaG",65,81385.4536875554,0
"metaG",66,96268.3322432576,0
"metaG",67,76844.3621406795,0
"metaG",68,95864.5438404139,0
"metaG",70,100449.546605809,0
"metaG",72,75793.2074051918,0
"metaG",76,112438.968583069,0
"metaG",78,49583.6572031479,0
"metaG",80,79555.8887083603,0
"metaG",81,49245.0257770243,0
"metaG",82,52660.2196778768,0
"metaG",84,24605.6287668499,0
"metaG",85,56534.2743958655,0
"metaG",92,45305.8244595005,0
"metaG",98,75103.1118219895,0
"metaG",100,93494.7462518549,0
"metaG",102,81988.2227610482,0
"metaG",109,64055.1207767155,0
"metaG",110,79439.1750179037,0
"metaG",111,91931.463962312,0
"metaG",122,96572.0948044104,1
"metaG",123,135041.651080116,0
"metaG",124,143089.89391605,1
"metaG",125,243264.251524125,0
"metaG",128,128472.404324108,0
"metaG",131,80714.7477562135,0
"metaG",132,112088.064401092,0
"metaG",135,55891.8903239633,1
"metaG",136,118121.953764256,0
"metaG",137,83106.7685228853,0
"metaG",138,93296.2439237533,0
"metaG",142,59983.8014731238,0
"metaG",143,92496.4416717448,0
"metaG",144,111491.97060941,0
"metaG",145,97832.1749130402,0
"metaG",146,91777.5841767931,0
"metaG",147,94674.6341723606,0
"metaG",148,111434.817604561,0
"metaG",149,106400.931737885,0
"metaG",150,134951.83244387,0
"metaG",151,90084.4884872014,0
"metaG",152,110737.903650584,0
"metaG",155,90568.337618678,0
"metaG",158,75277.9102282239,0
"metaG",168,52890.5018625193,0
"metaG",173,54009.71003777,0
"metaG",175,96097.8853895758,0
"metaG",178,78196.3672706007,0
"metaG",180,62410.2537867217,0
"metaG",188,74511.0374843065,0
"metaG",189,62800.628451841,0
"metaG",191,108267.683073901,0
"metaG",193,30785.083178531,0
"metaG",194,53716.8739054058,0
"metaG",196,47338.3336949492,0
"metaG",201,64923.6464797514,0
"metaG",205,67183.6584042686,0
"metaG",206,117536.264410918,0
"metaG",208,113979.51479307,0
"metaG",209,56289.0239179425,0
"metaG",210,36145.3978235346,0
"metaT",7,193559.341124105,0
"metaT",11,100982.772188083,0
"metaT",18,214880.16194335,0
"metaT",22,122531.488384473,0
"metaT",23,290460.10139785,0
"metaT",25,252797.504871268,0
"metaT",26,62129.3511332504,1
"metaT",30,230585.844329262,0
"metaT",36,61944.9238491216,1
"metaT",38,310334.090311235,0
"metaT",39,247675.391740898,0
"metaT",41,318452.672422334,0
"metaT",46,81014.7344401164,1
"metaT",51,99510.379232103,0
"metaT",52,285141.361146296,0
"metaT",64,204327.195782087,0
"metaT",65,321978.982335028,0
"metaT",66,293888.692504773,0
"metaT",67,302568.177065837,0
"metaT",68,306090.748969214,0
"metaT",70,346730.26906098,0
"metaT",72,279608.023818334,0
"metaT",76,223336.885935124,0
"metaT",78,117316.243916511,0
"metaT",80,302818.501672167,0
"metaT",81,265030.594384989,0
"metaT",82,161693.094485191,0
"metaT",84,278027.400752044,0
"metaT",85,353864.74235444,0
"metaT",92,253584.121199344,0
"metaT",98,320643.717327893,0
"metaT",100,158226.728110637,0
"metaT",102,295683.209306802,0
"metaT",109,338335.117768725,0
"metaT",110,264153.887585135,0
"metaT",111,301185.941628346,0
"metaT",122,36199.2204207103,1
"metaT",123,397817.219087874,0
"metaT",124,80167.7076141144,1
"metaT",125,126047.607779147,0
"metaT",128,82601.3396436474,0
"metaT",131,217495.970809621,0
"metaT",132,304424.436698533,0
"metaT",135,27500.5441428034,1
"metaT",136,274791.048909088,0
"metaT",137,346131.809410506,0
"metaT",138,365083.222617665,0
"metaT",142,162792.58714776,0
"metaT",143,278517.495709783,0
"metaT",144,105524.782847248,0
"metaT",145,157553.962456952,0
"metaT",146,307670.879561559,0
"metaT",147,322290.236997722,0
"metaT",148,301553.674843814,0
"metaT",149,214857.510340838,0
"metaT",150,273379.48464445,0
"metaT",151,296595.252514987,0
"metaT",152,301762.011160883,0
"metaT",155,292765.956273026,0
"metaT",158,272324.435218406,0
"metaT",168,313483.046278336,0
"metaT",173,293421.056567878,0
"metaT",175,280022.34411392,0
"metaT",178,257463.018404815,0
"metaT",180,335693.099222923,0
"metaT",188,186158.666924926,0
"metaT",189,349756.383183734,0
"metaT",191,267151.262223985,0
"metaT",193,241241.886742792,0
"metaT",194,310514.948117533,0
"metaT",196,340053.293378546,0
"metaT",201,254208.886028829,0
"metaT",205,235195.457384493,0
"metaT",206,270385.748783713,0
"metaT",208,309797.443422383,0
"metaT",209,313803.322377523,0
"metaT",210,332720.185682467,0
