"station"	"latitude"	"longitude"	"depth_category"	"depth_nominal"	"month"	"SSD"	"temp_woa"	"sal_woa"	"no3_woa"	"po4_woa"	"sioh4_woa"	"dco"	"dcu"	"dfe"	"dzn"
7	37.0434	1.9493	"SUR"	9	9	727	19.0366103543701	37.2433891296387	0.654349029064178	0.171634286642075	0.129360869526863	55.321	1.129	2.158	3.596
8	38.005	3.9899	"SUR"	9	9	717	19.3569748389282	37.4514999389648	0.212858200073242	0.154928714036942	0.584275662899017	51.391	1.152	1.7	3.868
10	40.6541	2.8407	"SUR"	9	9	711	18.4646531497192	37.9257125854492	0.0727773904800415	0.103805638849735	0.45114666223526	60.567	1.089	3.298	3.197
11	41.6645	2.7983	"SUR"	9	10	NA	17.6594427269897	37.9609279632568	0.00706063769757748	0.0283310133963823	0.0658098654821515	65.818	1.336	3.837	4.457
12	43.3482	7.901	"SUR"	5	10	675	17.4481781815185	38.1781692504883	0.00658294605091214	0.033685986418277	0.0895976126194	100.297	1.04	4.29	2.368
14	39.91	12.8266	"SUR"	5	10	658	19.1787302073364	38.1651992797852	0.130252584815025	0.120232939720154	0.754303395748138	47.804	1.095	1.481	3.216
17	36.2678	14.3055	"SUR"	5	10	649	19.3948009678955	38.0746879577637	0.539129555225372	0.171881392598152	1.28918194770813	82.009	1.148	2.513	4.048
18	35.7606	14.2522	"SUR"	5	11	641	19.8861888396606	38.1430892944336	0.122970908880234	0.0171867106109858	2.43140935897827	82.341	1.133	2.095	3.998
19	34.2116	13.7684	"SUR"	5	11	630	19.4991920837403	38.1718902587891	0.327580124139786	0.0191674940288067	2.64310264587402	96.831	1.103	2.082	3.944
20	34.453	14.9538	"SUR"	5	11	627	20.9666722393799	38.219310760498	0.227576091885567	0.0119535224512219	2.23423099517822	83.987	1.076	1.869	3.806
21	37.5057	17.2174	"SUR"	5	11	610	19.7365140777588	38.5144119262695	0.0787921547889709	0.0153297986835241	1.53930222988129	50.775	1.39	1.212	5.368
22	39.5705	17.4101	"SUR"	5	11	597.5	19.3557276657105	38.6145401000977	0.103337821861108	0.0062520286689202	1.28051406145096	51.342	1.67	1.349	6.282
23	42.1735	17.7252	"SUR"	5	11	582	18.4236129047241	38.6447359720866	0.247289344668388	0.0632990685602029	2.82461166381836	155.738	1.053	4.12	2.46
24	42.4552	17.9348	"SUR"	5	11	575	18.489648203125	38.6447359720866	0.247289344668388	0.0632990685602029	2.82461166381836	155.738	1.053	4.12	2.46
25	39.3888	19.3905	"SUR"	5	11	587.5	19.0039352634277	38.4057998657227	0.356505364179611	0.00778073072433472	1.31175482273102	60.303	1.116	2.284	3.885
26	38.425	20.1913	"SUR"	5	11	632.666666666667	19.5829801419678	38.3590888977051	0.0544711127877235	0.0707586333155632	1.89963972568512	-999	-999	-999	4.336
30	33.9178	32.8872	"SUR"	5	12	595	21.5604520355225	39.2738990783691	0.181377962231636	0.159740954637527	1.64857769012451	48.371	1.066	1.135	4.075
31	27.145	34.8067	"SUR"	5	1	632	25.3863514051514	40.3986129760742	0.153497412800789	0.137777671217918	0.960544288158417	243.02	0.908	2.12	0.797
32	23.36	37.2183	"SUR"	5	1	649	26.8705390145874	39.5863876342773	0.188689634203911	0.0179385039955378	1.02944314479828	247.974	0.932	2.193	0.826
33	22.025	38.2333	"SUR"	5	1	654.5	28.178104553894	39.1663131713867	0.19965535402298	0.0958915427327156	1.06083977222443	240.579	0.909	2.177	0.811
34	18.3967	39.875	"SUR"	5	1	672	29.3697138131714	38.0615119934082	0.100832708179951	0.131181612610817	2.41174697875977	232.786	0.896	4.157	0.851
36	20.8222	63.5133	"SUR"	5	3	717	26.8132808319092	36.5188903808594	1.39381790161133	0.3832668364048	1.56870019435883	56.453	0.936	1.196	0.971
38	19.0351	64.5638	"SUR"	5	3	721	27.2888564350586	36.5104904174805	0.913694024085999	0.344897717237473	1.84536850452423	56.453	0.936	1.196	0.971
39	18.5839	66.4727	"SUR"	5	3	724	27.7074972076416	36.4241104125977	0.37709304690361	0.288929551839828	2.47091484069824	62.492	0.882	1.336	0.895
41	14.6059	69.9776	"SUR"	5	3	735	28.6548934819336	35.8630104064941	0.128936514258385	0.211062669754028	2.61545300483704	62.774	0.835	1.969	0.799
42	6.0001	73.8955	"SUR"	5	4	731	29.1403586130981	34.4411888122559	0.168556809425354	0.161131843924522	1.89633858203888	59.288	0.793	2.102	0.804
43	4.6599	73.4856	"SUR"	5	4	731	29.1643861001587	34.421989440918	0.250500470399857	0.159904614090919	2.46257901191711	61.412	0.765	2.079	0.809
45	0.0033	71.6428	"SUR"	5	4	727	29.4057410870361	34.9012870788574	0.192722350358963	0.236678779125214	5.05595636367798	30.028	0.662	1.179	0.796
46	-0.6625	73.161	"SUR"	5	4	726	28.8299344389648	34.8501892089844	0.29450386762619	0.238740414381027	3.98360753059387	30.898	0.632	1.221	0.784
47	-2.0465	72.1568	"SUR"	5	4	724	28.905045178894	34.7865982055664	0.224442034959793	0.243372216820717	5.69509887695312	30.678	0.619	1.226	0.774
49	-16.8084	59.5043	"SUR"	5	4	696	25.2727179699707	34.831600189209	0.0195312276482582	0.249897167086601	2.37985563278198	33.835	0.569	0.852	0.747
51	-21.5043	54.3563	"SUR"	5	5	669	25.7267717493896	35.0476112365723	0.0385694988071918	0.134835407137871	2.96756839752197	40.205	0.509	1.038	0.702
52	-16.957	53.9801	"SUR"	5	5	678	26.8141275172119	34.8870124816895	0.0373833924531937	0.140394225716591	3.47754645347595	36.065	0.542	0.796	0.733
53	-13.0833	46.971	"SUR"	5	5	687	28.0042081732178	34.9005126953125	0.000442642485722899	0.152095481753349	2.15465903282166	59.641	0.551	2.526	0.734
54	-12.807	45.2247	"SUR"	5	5	687	27.8492670759481	34.9033012390137	0.000339928752509877	0.183467343449593	2.23384118080139	45.719	0.547	1.566	0.736
57	-17.0248	42.7401	"SUR"	5	6	667	27.205135282074	35.0258102416992	0.0243143122643232	0.20604345202446	3.33773732185364	51.828	0.549	1.887	0.736
58	-17.4174	42.2547	"SUR"	5	6	665.5	27.5190943374634	35.0258102416992	0.0243143122643232	0.20604345202446	3.33773732185364	51.828	0.549	1.887	0.736
62	-22.3368	40.3412	"SUR"	5	7	648	26.4359339321289	35.2811889648438	0.0319115743041039	0.147584810853004	3.55102920532227	48.733	0.51	1.394	0.703
64	-29.5019	37.9889	"SUR"	5	7	620	23.4806655449219	35.4496116638184	0.473721444606781	0.131102383136749	1.45905554294586	37.024	0.534	0.955	0.717
65	-35.1728	26.2868	"SUR"	5	7	597	21.5567016465759	35.4914131164551	2.32210397720337	0.395076096057892	4.33201599121094	42.259	0.567	1.375	0.771
66	-34.9449	17.9189	"SUR"	5	7	601.5	18.0227602557373	35.3732109069824	3.29224133491516	0.631964921951294	6.66895627975464	45.278	0.742	1.993	1.059
67	-32.2401	17.7103	"SUR"	5	9	697	15.5004554909973	35.249210357666	3.17573356628418	0.722875118255615	4.27686882019043	-999	-999	-999	-999
68	-31.0266	4.665	"SUR"	5	9	710.5	18.4543115032959	35.6510124206543	0.244347810745239	0.434491038322449	4.2799859046936	13.629	0.746	0.048	0.902
70	-20.4091	-3.1759	"SUR"	5	9	725	21.7925341257324	36.2012901306152	0.340886771678925	0.271181225776672	1.69512546062469	21.487	0.965	0.725	1.064
