station,mu_cum,mu_KS
7,14,19
11,13,17
18,14,13
22,11,58
23,14,10
25,13,10
26,9,11
30,12,11
36,11,17
38,15,23
39,18,11
41,23,12
46,10,16
51,10,10
52,12,23
64,13,14
65,15,111
66,42,111
67,12,10
68,21,16
70,13,10
72,19,15
76,15,11
78,15,18
80,18,145
81,14,14
82,17,47
84,36,87
85,60,74
92,11,17
98,19,31
100,12,28
102,21,92
109,12,10
110,14,10
111,19,15
122,11,10
123,17,11
124,11,10
125,11,10
128,10,12
131,17,11
132,15,28
135,10,11
136,16,10
137,21,11
138,16,57
142,11,10
143,14,28
144,10,55
145,15,10
146,13,73
147,15,10
148,14,10
149,11,38
150,13,29
151,20,53
152,32,119
155,42,134
158,18,76
168,14,16
173,14,111
175,319,91
178,26,10
180,15,10
188,36,23
189,17,16
191,22,143
193,34,211
194,22,267
196,79,201
201,24,142
205,29,921
206,64,382
208,15,22
209,54,322
210,38,263
