station,mu_KS,N_10,S_10,N_KS,S_KS,alpha,alpha_low,alpha_high,logk,logk_low,logk_high,logN_mean,logN_low,logN_high,KS,p_KS,AD,p_AD
7,26,48791,1121,38150,422,2.257453168079337,1.7319139455335737,3.36372402151269,1.8990040126578094,1.7373609072890548,2.1212497988362307,4.571278934969101,4.5119601903975814,4.646825033018081,0.027475365867451418,0.432,1.1080185850056805,0.07
11,22,25932,325,23794,177,1.2437094083084963,0.9297173564455115,1.8303214209640963,1.6515646896441458,1.4285471373053122,1.9214868578762263,4.467185315548632,4.254392161816284,4.969122260443933,0.029592691816029082,0.893,0.5199208055748694,0.931
18,11,35001,1039,33961,935,1.7955696383770943,1.532152954518635,2.1965266542974295,1.3247690468198308,1.2068598713497845,1.443054117562247,4.538518795203401,4.481259478335705,4.635467886223756,0.011085921546446609,0.934,2.3551135817411466,0.647
22,16,58445,1422,51904,881,1.5748256309858637,1.3478741497494509,1.8879775582589753,1.4514114159453486,1.3453868049842996,1.5670907852287772,4.7470747956312564,4.678298900135831,4.8704089736617915,0.016781717596771717,0.589,1.6084762787659264,0.656
23,17,40891,1282,33097,656,1.7693959091892106,1.4761384313430235,2.2754466230489196,1.4555314502779488,1.3316900720557554,1.6122354957802558,4.5431749229644645,4.476549417131731,4.642882077348783,0.014776799723619338,0.887,1.476286296171889,0.796
25,11,86132,1524,84712,1382,1.1744359430386426,1.0511920123160805,1.325408728419616,1.167182578379842,1.0887459413048663,1.2514640254781277,5.019382644540057,4.861355308074637,5.381964603372667,0.010426424939786183,0.85,2.7336269266050435,0.304
26,11,56372,1357,55022,1222,1.3457252185832553,1.191866799090622,1.5392078066982167,1.181567940474438,1.0957846006970453,1.2757084237051406,4.799996742489741,4.696766007565461,5.027377117186879,0.008008686539071663,0.993,2.7407144022424212,0.532
30,12,44958,1210,42874,1011,1.7475676348780758,1.497665235107698,2.12801437462462,1.367571413483493,1.2716856536369396,1.4849217393542133,4.6339405311839,4.574148506799652,4.745975297788077,0.01824766007676508,0.295,2.1735879475032482,0.667
36,11,226245,2004,224055,1785,0.8425339354616951,0.7751268494300928,0.9232048484622858,0.9686812687035459,0.9035632923501733,1.0359692588491272,5.7116775183767095,5.290799564567843,6.728361725162569,0.010882109017048225,0.644,3.208849772930378,0.489
38,10,37271,679,37271,679,1.5723850867678917,1.3158261133667652,1.997372070485344,1.2744677614333537,1.1550886998977101,1.4238919474208447,4.447925839859528,4.360699800670951,4.6056493992502165,0.018958663662592024,0.525,2.168355359814733,0.171
39,12,56502,1560,53286,1251,1.4459439306558364,1.2755947038188216,1.6588366577010403,1.21071554763799,1.1204159107350227,1.3032475931226484,4.76710219673147,4.686787486413027,4.9423253048048075,0.014322020091590448,0.469,2.6962026098493523,0.797
41,10,44548,864,44548,864,0.9946891057070185,0.876382152321575,1.150935755652584,0.9271055623867426,0.8260339308376733,1.038622682504374,4.863526602268196,4.6189486758764895,5.4665989234803645,0.020677883160685084,0.192,2.789696957015606,0.589
46,13,27632,1127,23333,728,1.488927803549371,1.2617054578241218,1.8283205620402863,1.0542327778436151,0.9402342525455655,1.1858937863029901,4.407130258411588,4.331337691732358,4.567261177375484,0.013219493233643798,0.862,2.9362326551608033,0.56
51,11,18407,624,17607,544,1.6757640801608797,1.3661321313260102,2.1565618124298034,1.1701728185663263,1.0388740776764351,1.328577547954624,4.244945372535623,4.171922150006564,4.389795706531842,0.02155558754757536,0.447,2.2628995101057092,0.635
52,15,46044,1343,40153,838,1.3674824523895217,1.1814358246547978,1.6509607612728658,1.1334941102234874,1.0349911481909484,1.2569268370928903,4.6179625041033505,4.518868797695951,4.87480026663974,0.018418432334775248,0.379,2.7738628256556477,0.097
64,10,101832,3506,101832,3506,1.5343761614621432,1.4146641950711327,1.6816320803792437,1.0205925679662824,0.9664311431135942,1.0789240937741658,5.005379240293358,4.959280545578974,5.096946649242225,0.00883229159597898,0.365,7.080496967788302,0.372
65,15,144237,3827,126991,2332,1.4512750376163712,1.316257315660504,1.619678758374417,1.3470372827250494,1.280516393958215,1.4170131052569326,5.160021110411164,5.089488977713426,5.307979736441763,0.014389003908227171,0.117,2.7242779349499138,0.97
66,10,267236,3651,267236,3651,0.873923553774806,0.823301739584879,0.9269043919416183,0.9273131578975593,0.8813091497439236,0.9752259155370409,5.921625125421783,5.563989627994842,6.898655545774603,0.01631309816064841,0.004,4.9396826390885025,0.849
67,23,129670,3486,96344,973,1.3468511371436118,1.171840401697357,1.5895634142072999,1.544856869988556,1.450680596227524,1.6551414149276937,5.0513119572967895,4.9412566943441725,5.2579545990477055,0.01620519562310674,0.581,1.2175008941018148,0.775
