station,mu_KS,N_10,S_10,N_KS,S_KS,alpha,alpha_low,alpha_high,logk,logk_low,logk_high,logN_mean,logN_low,logN_high,KS,p_KS,AD,p_AD
7,19,62372,441,60885,336,1.0972852198076783,0.9074311108456788,1.4234346669138451,1.6744748214194334,1.52092900678304,1.8520198284995144,4.9603482430306025,4.686344182344522,5.574754701751571,0.0268348609157939,0.616,0.6709199709956319,0.61
11,17,19819,167,19314,128,1.2009577130623712,0.8755581344774961,2.0484604084348685,1.6943618936074918,1.4528493100878002,2.023363268133981,4.367963575453741,4.119087491704413,4.8296234942504235,0.03409961382746918,0.885,0.577880176073389,0.666
18,13,48753,368,48363,333,1.3020031384429889,1.0479278536945245,1.755078653295952,1.7656750314519774,1.614530328313272,1.9566724705757088,4.767219860081281,4.587327280838053,5.124206230652698,0.019966255581118586,0.933,0.6748417731222414,0.606
22,58,38620,608,28160,170,1.5837004569505337,1.1342500571629275,2.6672197461491045,1.8405479769831712,1.5971632418794421,2.1443389480826127,4.467758894403703,4.346169042298626,4.728799394323605,0.019372146847732252,0.999,0.46962706377003,0.96
23,10,100433,618,100433,618,1.0219848125654396,0.8948490376714425,1.2202163354548052,1.509164679030592,1.4100846727699852,1.6337339478780524,5.2275668319130455,4.9165707934946195,6.073817422885138,0.0198925132979183,0.606,0.8138458781564446,0.925
25,10,99952,792,99952,792,1.1272744435277477,0.9899487253647573,1.3266095306358243,1.5453591862605487,1.4454948521802136,1.6573950412921956,5.174428509709966,4.963846712465163,5.698878321252629,0.02538426358825574,0.128,1.1097750879805581,0.374
26,11,18044,587,17504,533,1.6948920139017472,1.3710509814383982,2.216983381418377,1.2273309210447527,1.0893623287607,1.3876749369643606,4.267248998328454,4.191768780217759,4.4225286337216465,0.01215221315949444,0.989,1.9799695733129297,0.764
30,11,59019,535,58769,510,1.0010525932277805,0.8508384682208979,1.2175565165594933,1.4040489185954128,1.2753345938579352,1.5428801365944673,5.038127452513885,4.748201986139324,5.836167987494373,0.026700703816065596,0.291,1.0165493624105024,0.497
36,17,53138,580,50911,402,1.1951345470856718,0.9973446616306791,1.5045450490001144,1.5260993784166192,1.391734297925453,1.687130709470346,4.761153623712339,4.5768200187488,5.176785216045167,0.025889000849649735,0.516,0.8644399723025803,0.581
38,23,57538,432,55899,326,1.7490369075445527,1.328017331736748,2.495944196586154,2.0923746755844177,1.9172123239411598,2.304202960885548,4.778331764750156,4.66917503722983,4.9517122530402995,0.03328989723987663,0.371,0.6998329931578252,0.359
