station,NormTotal,metaGT
7,116567.97503883089,metaG
11,128327.54259244615,metaG
18,114870.61406505603,metaG
22,73311.67338172362,metaG
23,103549.17557578429,metaG
25,86102.46331963463,metaG
26,97795.94360975566,metaG
30,115290.52950467342,metaG
36,56908.33884045112,metaG
38,48680.47278345192,metaG
39,80776.46901775956,metaG
41,56673.420546924,metaG
46,42443.10431674866,metaG
51,77989.94203911032,metaG
52,70537.72803410405,metaG
64,81616.98248069361,metaG
65,81385.45368755536,metaG
66,96268.33224325761,metaG
67,76844.36214067954,metaG
68,95864.5438404139,metaG
70,100449.5466058089,metaG
72,75793.2074051918,metaG
76,112438.96858306948,metaG
78,49583.65720314788,metaG
80,79555.88870836027,metaG
81,49245.02577702435,metaG
82,52660.21967787681,metaG
84,24605.628766849863,metaG
85,56534.2743958655,metaG
92,45305.82445950048,metaG
98,75103.1118219895,metaG
100,93494.74625185494,metaG
102,81988.22276104821,metaG
109,64055.1207767155,metaG
110,79439.17501790375,metaG
111,91931.46396231202,metaG
122,96572.09480441036,metaG
123,135041.65108011576,metaG
124,143089.8939160505,metaG
125,243264.25152412528,metaG
128,128472.40432410751,metaG
131,80714.74775621352,metaG
132,112088.06440109166,metaG
135,55891.890323963285,metaG
136,118121.9537642563,metaG
137,83106.76852288532,metaG
138,93296.24392375325,metaG
142,59983.80147312378,metaG
143,92496.44167174485,metaG
144,111491.97060940963,metaG
145,97832.17491304019,metaG
146,91777.58417679313,metaG
147,94674.63417236063,metaG
148,111434.8176045614,metaG
149,106400.9317378847,metaG
150,134951.83244387034,metaG
151,90084.48848720136,metaG
152,110737.90365058389,metaG
155,90568.33761867801,metaG
158,75277.91022822395,metaG
168,52890.50186251932,metaG
173,54009.710037770004,metaG
175,96097.88538957576,metaG
178,78196.36727060075,metaG
180,62410.25378672175,metaG
188,74511.03748430648,metaG
189,62800.62845184096,metaG
191,108267.6830739006,metaG
193,30785.08317853098,metaG
194,53716.873905405846,metaG
196,47338.33369494923,metaG
201,64923.646479751435,metaG
205,67183.65840426859,metaG
206,117536.26441091755,metaG
208,113979.5147930698,metaG
209,56289.02391794249,metaG
210,36145.3978235346,metaG
7,193559.3411241052,metaT
11,100982.77218808251,metaT
18,214880.16194334987,metaT
22,122531.48838447272,metaT
23,290460.10139785014,metaT
25,252797.50487126797,metaT
26,62129.35113325036,metaT
30,230585.84432926172,metaT
36,61944.92384912156,metaT
38,310334.09031123546,metaT
39,247675.39174089796,metaT
41,318452.67242233397,metaT
46,81014.73444011644,metaT
51,99510.37923210296,metaT
52,285141.361146296,metaT
64,204327.19578208702,metaT
65,321978.98233502783,metaT
66,293888.6925047733,metaT
67,302568.1770658367,metaT
68,306090.7489692137,metaT
70,346730.26906097983,metaT
72,279608.0238183338,metaT
76,223336.885935124,metaT
78,117316.24391651084,metaT
80,302818.50167216745,metaT
81,265030.59438498894,metaT
82,161693.09448519087,metaT
84,278027.40075204434,metaT
85,353864.74235443963,metaT
92,253584.12119934417,metaT
98,320643.7173278926,metaT
100,158226.72811063653,metaT
102,295683.209306802,metaT
109,338335.1177687245,metaT
110,264153.88758513547,metaT
111,301185.9416283456,metaT
122,36199.22042071026,metaT
123,397817.2190878744,metaT
124,80167.70761411439,metaT
125,126047.60777914689,metaT
128,82601.33964364737,metaT
131,217495.97080962078,metaT
132,304424.43669853295,metaT
135,27500.544142803414,metaT
136,274791.04890908813,metaT
137,346131.80941050604,metaT
138,365083.2226176648,metaT
142,162792.58714776003,metaT
143,278517.4957097829,metaT
144,105524.78284724808,metaT
145,157553.96245695173,metaT
146,307670.8795615593,metaT
147,322290.23699772236,metaT
148,301553.67484381376,metaT
149,214857.51034083826,metaT
150,273379.48464445036,metaT
151,296595.252514987,metaT
152,301762.0111608829,metaT
155,292765.95627302607,metaT
158,272324.4352184059,metaT
168,313483.0462783357,metaT
173,293421.05656787805,metaT
175,280022.3441139204,metaT
178,257463.0184048154,metaT
180,335693.09922292293,metaT
188,186158.66692492622,metaT
189,349756.3831837341,metaT
191,267151.2622239848,metaT
193,241241.88674279244,metaT
194,310514.94811753347,metaT
196,340053.2933785458,metaT
201,254208.8860288289,metaT
205,235195.45738449332,metaT
206,270385.7487837125,metaT
208,309797.4434223826,metaT
209,313803.3223775226,metaT
210,332720.18568246654,metaT
