"metaGT","station","N","S"
"metaG",100,57889231,4051804
"metaT",100,111612026,4741155
"metaG",102,52122925,2919274
"metaT",102,268499034,6729372
"metaG",109,40973643,3774216
"metaT",109,290285055,9925189
"metaG",110,47928990,4868433
"metaT",110,221683712,9863695
"metaG",111,52554542,5169094
"metaT",111,235053122,7277542
"metaG",11,76993120,2385993
"metaT",11,67865259,2109978
"metaG",122,57287602,3867747
"metaT",122,21812529,2571400
"metaG",123,87403507,4807463
"metaT",123,324276164,13286260
"metaG",124,88581457,4429724
"metaT",124,48894247,3331433
"metaG",125,144641979,6662305
"metaT",125,83886262,5180764
"metaG",128,82962396,4110238
"metaT",128,49322651,3490912
"metaG",131,48703496,3760135
"metaT",131,169795766,5873465
"metaG",132,69404893,4512130
"metaT",132,260164142,10017749
"metaG",135,32581847,2695485
"metaT",135,14635268,2134053
"metaG",136,76630535,4442391
"metaT",136,243882595,7412951
"metaG",137,54123699,3744796
"metaT",137,303282780,7109604
"metaG",138,58896707,4332100
"metaT",138,293625292,10877008
"metaG",142,36275613,3632970
"metaT",142,120816556,6611447
"metaG",143,57522508,4402479
"metaT",143,236885662,9811414
"metaG",144,66081746,5710338
"metaT",144,68054638,4929257
"metaG",145,54920997,2454124
"metaT",145,122853693,4169006
"metaG",146,51197724,4670104
"metaT",146,247812194,9979299
"metaG",147,53520780,4603736
"metaT",147,277697475,9805479
"metaG",148,62998515,4911947
"metaT",148,247981739,11763293
"metaG",149,59354423,5515079
"metaT",149,161639439,7830813
"metaG",150,78388151,5564228
"metaT",150,238723711,9112467
"metaG",151,53974350,4790731
"metaT",151,253933380,9991375
"metaG",152,64997749,2906918
"metaT",152,265880353,7213958
"metaG",155,52483061,2407345
"metaT",155,287153244,5632256
"metaG",158,43778461,1428287
"metaT",158,227908079,3552231
"metaG",168,34021769,1903042
"metaT",168,206666155,3299989
"metaG",173,37404558,2572569
"metaT",173,243310867,5294571
"metaG",175,61513135,1709739
"metaT",175,270087625,3219701
"metaG",178,47122729,2189460
"metaT",178,237325147,4048541
"metaG",180,56070472,1714583
"metaT",180,309442650,4061635
"metaG",188,59878440,2164816
"metaT",188,178650440,4131349
"metaG",189,40457762,1994266
"metaT",189,306642870,4534615
"metaG",18,70038642,4331262
"metaT",18,161963853,3310631
"metaG",191,64659148,1700882
"metaT",191,230970748,3242902
"metaG",193,20277836,1589930
"metaT",193,200297986,4457109
"metaG",194,36649122,2203863
"metaT",194,288317420,5072446
"metaG",196,31520781,2185935
"metaT",196,282989987,6255797
"metaG",201,40303980,1500530
"metaT",201,257148716,2683450
"metaG",205,53640641,2094970
"metaT",205,199263369,6222673
"metaG",206,67874491,1560953
"metaT",206,245669676,3455379
"metaG",208,68092069,2149162
"metaT",208,265680534,5480146
"metaG",209,37971047,2195392
"metaT",209,266004991,6745902
"metaG",210,23839960,1841675
"metaT",210,276769565,6838808
"metaG",22,39856317,4044564
"metaT",22,84494426,4517702
"metaG",23,59882088,4367949
"metaT",23,258466335,10140248
"metaG",25,50068652,4353321
"metaT",25,208785612,8969933
"metaG",26,56431794,5027899
"metaT",26,34422426,4397059
"metaG",30,68788566,4349282
"metaT",30,166432700,7745539
"metaG",36,35408141,3152550
"metaT",36,43946310,3004699
"metaG",38,32017540,2080688
"metaT",38,285796191,5865628
"metaG",39,52547836,3732604
"metaT",39,199855993,4278801
"metaG",41,32981838,3611505
"metaT",41,264275628,9726881
"metaG",46,23853939,2747855
"metaT",46,50301906,3670496
"metaG",51,48126171,4089576
"metaT",51,67098231,5678088
"metaG",52,42508509,4645493
"metaT",52,219539915,11797235
"metaG",64,48103204,5379235
"metaT",64,153363345,7924312
"metaG",65,46068685,6199712
"metaT",65,235447665,14677175
"metaG",66,54444162,3255161
"metaT",66,251250666,10368173
"metaG",67,44672462,1240874
"metaT",67,279239477,2335990
"metaG",68,54128190,2996295
"metaT",68,277654876,7340269
"metaG",70,60005086,5415166
"metaT",70,323791123,10687406
"metaG",72,46874414,3319021
"metaT",72,224198679,4816882
"metaG",76,69315963,3692176
"metaT",76,166548125,4457893
"metaG",78,28841942,3077439
"metaT",78,84873220,4770947
"metaG",7,70375517,4199348
"metaT",7,141043461,3461005
"metaG",80,44537243,3371120
"metaT",80,222499632,9761703
"metaG",81,28611057,2830949
"metaT",81,231311021,5767585
"metaG",82,32533906,1630578
"metaT",82,98599991,2044564
"metaG",84,15193989,1333842
"metaT",84,218846443,5466697
"metaG",85,40581202,1031255
"metaT",85,296829359,3290162
"metaG",92,28312795,1172386
"metaT",92,197288746,3063315
"metaG",98,45650813,2802996
"metaT",98,250856796,9261482
