"station","metaGT","total"
7,"MetaG",596993452
7,"MetaT",320147890
11,"MetaG",381155374
11,"MetaT",338535178
18,"MetaG",340982798
18,"MetaT",363627422
22,"MetaG",316528448
22,"MetaT",386614658
23,"MetaG",540537740
23,"MetaT",413317914
25,"MetaG",317775704
25,"MetaT",399909978
26,"MetaG",331555784
26,"MetaT",301165704
30,"MetaG",443848272
30,"MetaT",441456646
36,"MetaG",330726770
36,"MetaT",272125204
38,"MetaG",348513880
38,"MetaT",466040858
39,"MetaG",366123698
39,"MetaT",416253120
41,"MetaG",395789688
41,"MetaT",481650118
46,"MetaG",329967944
46,"MetaT",384811198
51,"MetaG",282334790
51,"MetaT",332767878
52,"MetaG",333428858
52,"MetaT",412695706
64,"MetaG",323119520
64,"MetaT",367661130
65,"MetaG",362675848
65,"MetaT",486613248
66,"MetaG",376002418
66,"MetaT",439770154
67,"MetaG",309605836
67,"MetaT",470166732
68,"MetaG",340271208
68,"MetaT",433546660
70,"MetaG",355182316
70,"MetaT",461185850
72,"MetaG",317556586
72,"MetaT",452203522
76,"MetaG",467975524
76,"MetaT",379030838
78,"MetaG",275237420
78,"MetaT",332293540
80,"MetaG",386289714
80,"MetaT",500109986
81,"MetaG",294008820
81,"MetaT",426907492
82,"MetaG",299920520
82,"MetaT",355813628
84,"MetaG",286616050
84,"MetaT",411840870
85,"MetaG",293402528
85,"MetaT",496225048
92,"MetaG",479862694
92,"MetaT",451995248
98,"MetaG",371499024
98,"MetaT",495850272
100,"MetaG",360364420
100,"MetaT",391383180
102,"MetaG",321011630
102,"MetaT",445142498
109,"MetaG",340719658
109,"MetaT",463415328
110,"MetaG",374264292
110,"MetaT",381943738
111,"MetaG",338115926
111,"MetaT",420459264
122,"MetaG",531449336
122,"MetaT",454098746
123,"MetaG",586470272
123,"MetaT",553756870
124,"MetaG",493546200
124,"MetaT",299493210
125,"MetaG",1053625556
125,"MetaT",412964566
128,"MetaG",367814082
128,"MetaT",274036116
131,"MetaG",443627822
131,"MetaT",395500058
132,"MetaG",374663790
132,"MetaT",419506350
135,"MetaG",380442070
135,"MetaT",296593954
136,"MetaG",377888080
136,"MetaT",373843322
137,"MetaG",318729390
137,"MetaT",441264670
138,"MetaG",347042398
138,"MetaT",535346912
142,"MetaG",276880204
142,"MetaT",370112094
143,"MetaG",318556414
143,"MetaT",375387512
144,"MetaG",378542534
144,"MetaT",325302748
145,"MetaG",331701968
145,"MetaT",327063084
146,"MetaG",364364898
146,"MetaT",375640520
147,"MetaG",352683992
147,"MetaT",401298898
148,"MetaG",401099924
148,"MetaT",382550936
149,"MetaG",424045798
149,"MetaT",323243230
150,"MetaG",431184436
150,"MetaT",348173616
151,"MetaG",312055464
151,"MetaT",407554056
152,"MetaG",361430994
152,"MetaT",397294572
155,"MetaG",365850052
155,"MetaT",448170638
158,"MetaG",277025614
158,"MetaT",425240732
168,"MetaG",433624026
168,"MetaT",445728134
173,"MetaG",471780228
173,"MetaT",647865692
175,"MetaG",447076610
175,"MetaT",474674036
178,"MetaG",414885010
178,"MetaT",411867414
180,"MetaG",429437592
180,"MetaT",516697576
188,"MetaG",453831164
188,"MetaT",417118592
189,"MetaG",381082046
189,"MetaT",457660554
191,"MetaG",746067452
191,"MetaT",424274748
193,"MetaG",348354238
193,"MetaT",422208900
194,"MetaG",385598616
194,"MetaT",520534330
196,"MetaG",315134020
196,"MetaT",482541308
201,"MetaG",345333394
201,"MetaT",400618092
205,"MetaG",381663992
205,"MetaT",400641110
206,"MetaG",446600666
206,"MetaT",479695448
208,"MetaG",446116742
208,"MetaT",446347260
209,"MetaG",363831606
209,"MetaT",448841474
210,"MetaG",364606010
210,"MetaT",463341698
