"data","station","S","N","Nmean","Nvar","zeta","alpha","logk","BIC_betaprime","BIC_LN"
"metaG",7,1121,52.6026410101821,0.0469247466638556,0.00640991996656346,2.59227405369246,1.44303213080922,-1.58514371604852,-4856.79007578049,-4854.53215836311
"metaG",11,325,24.3142224339547,0.0748129921044759,0.0116715968124933,2.68897873957796,0.76064741964766,-1.632023150327,-1104.16821100137,-1104.55518025451
"metaG",18,1039,40.62982597862,0.0391047410766314,0.00535155853748209,6.01751205373264,1.21400591626302,-2.10735128840267,-5041.5199849822,-5014.3904512349
"metaG",22,1422,67.5258174704299,0.0474865101761111,0.0057657977433086,2.47923989393937,1.22370776190149,-1.62396913318808,-6128.80459912953,-6134.22571618889
"metaG",23,1282,46.9886810703787,0.036652637340389,0.00490431079365346,3.90470914416589,1.17581524874318,-1.9657589025735,-6358.49470160785,-6334.69031999333
"metaG",25,1524,113.902613654964,0.0747392478050944,0.0435699778884757,5.38121643871741,0.369696835037065,-2.22356786844481,-5893.35477306427,-5791.4069442236
"metaG",26,1357,71.0191007988322,0.0523353727331114,0.0121196030952767,5.993186091837,0.735324893966835,-2.18672416028274,-5940.91039271928,-5863.94276596183
"metaG",30,1210,57.6609577070839,0.0476536840554412,0.00927131596348192,5.85021819809833,1.310588407864,-1.99809407504375,-5501.63151238219,-5453.75422027204
"metaG",36,2004,260.481933294752,0.1299810046381,0.196273046125944,2.72011838099872,-0.0022045413274848,-2.12663119084676,-7031.8372933043,-6869.37478611109
"metaG",38,679,48.8240197797859,0.0719057728715551,0.132462245948256,6.66666666666667,0.972620322350619,-2.15635316566074,-3053.65794344462,-2965.87684791301
"metaG",39,1560,62.1441358994925,0.0398359845509567,0.00411929078992647,2.06837531942193,1.71870378282232,-1.48087901451339,-7171.2440192154,-7159.50544568874
"metaG",41,864,62.4195625313353,0.0722448640408973,0.0297347795807752,6.66666666666667,0.134230708166642,-2.50967574796116,-3452.81059014623,-3361.93415069436
"metaG",46,1127,33.5601169866468,0.0297782759420113,0.00405799980022939,6.04333831714384,0.737774880315964,-2.41121516167083,-6081.68803773803,-6046.59634696632
"metaG",51,624,17.9868926221849,0.0288251484329887,0.0021810240386561,4.84121683687244,2.0237867714739,-1.93075861439981,-3390.10048664632,-3386.59041073455
"metaG",52,1343,41.3591507144317,0.0307960913733669,0.00165304967645851,3.01310175827893,1.90860780096664,-1.71667276963611,-6977.29071281911,-6961.3043825478
"metaG",64,3506,115.108676841927,0.0328319101089352,0.00624345739515664,4.99872200097227,1.05314108989877,-2.15946836915079,-18221.7099861913,-18142.3790174044
"metaG",65,3827,178.295167282992,0.0465887554959478,0.00492574199764918,2.67614115116442,0.798120257719189,-1.80941310767587,-16565.4056040228,-16598.2703453669
"metaG",66,3651,319.878362660595,0.0876139037689933,0.0610154681612343,3.79168211181435,-0.0339151127414492,-2.36156731903686,-13753.1461744351,-13590.7419389988
"metaG",67,3486,124.958231622397,0.0358457348314392,0.014046095723618,6.66666666666667,-0.0121357405160007,-2.98289626328828,-19569.6057609109,-19014.4621308466
"metaG",68,977,40.3839465258853,0.0413346433222981,0.0204196591732932,2.72939184776415,0.99540789368533,-1.85551500622735,-4722.16505204083,-4701.6964946009
"metaG",70,1355,42.0624549705193,0.0310424021922652,0.00150625899000128,2.83996196373588,2.49974650263058,-1.56884688659801,-6990.09964317306,-6982.76714950194
"metaG",72,787,28.5397772209134,0.0362640117165355,0.00401361439428118,3.50071427422875,1.85311956478547,-1.73226183965722,-3879.37804791167,-3874.12378638567
"metaG",76,928,54.1701247486687,0.0583729792550309,0.00669106992783931,3.37362337820566,0.72473267942055,-1.84740792314438,-3613.65543217667,-3611.75581675253
"metaG",78,591,22.0323177422238,0.0372797254521554,0.00193232824056625,2.21133223872128,2.12020936084518,-1.4440654464459,-2770.63444560582,-2777.28321741976
