"data","sector","station","S_10","N_10","nmin","alpha","beta","logk"
"metaG","A",7,24,0.584460841932702,0.0059660394676457,NA,NA,NA
"metaG","A",11,7,0.241938043180839,0.0054690786705931,NA,NA,NA
"metaG","A",18,40,0.900836152519665,0.005162622612287,NA,NA,NA
"metaG","A",22,18,0.682028030815935,0.0065197143744178,NA,NA,NA
"metaG","A",23,24,0.566168136901403,0.0040360136603539,NA,NA,NA
"metaG","A",25,26,1.43319262337578,0.0059363194819212,NA,NA,NA
"metaG","A",26,37,1.33004413344804,0.0046828437633035,NA,NA,NA
"metaG","A",30,31,1.17867940385843,0.0067114093959731,NA,NA,NA
"metaG","A",36,31,0.43777069321563,0.0023305496212856,NA,NA,NA
"metaG","A",38,32,1.25053260026636,0.0063569682151589,NA,NA,NA
"metaG","A",39,21,0.320944540345964,0.0025873221216041,NA,NA,NA
"metaG","A",41,15,0.39664156855766,0.004739336492891,NA,NA,NA
"metaG","A",46,18,0.475533441243001,0.0045510964004964,NA,NA,NA
"metaG","A",51,25,0.541371299107558,0.005048187241854,NA,NA,NA
"metaG","A",52,21,0.330775108431882,0.0055071133547498,NA,NA,NA
"metaG","A",64,86,1.29317242172771,0.0040950040950041,4.36847615399625,6.15757971338348,-8.09695648057679
"metaG","A",65,51,0.892751228223562,0.0024509803921568,2.99208702506501,3.65946153416975,-1.68077493244169
"metaG","A",66,44,0.68450277227889,0.0023349607302059,NA,NA,NA
"metaG","A",67,126,1.20758092263062,0.000930698739977,6.73400673400673,0.790448066085537,-2.99455200103975
"metaG","A",68,12,0.514079594678827,0.005048187241854,NA,NA,NA
"metaG","A",70,28,0.780372025730123,0.0069664344521849,NA,NA,NA
"metaG","A",72,22,0.572925135548156,0.0069664344521849,NA,NA,NA
"metaG","A",76,28,1.15140789134508,0.0070830650354153,NA,NA,NA
"metaG","A",78,12,0.313171363898625,0.0084139671855279,NA,NA,NA
"metaG","A",80,568,7.79739393534881,0.001957330201605,6.73400673400673,5.67759282937129,-1.97634949474875
"metaG","A",81,196,0.86835241726562,0.0011555835697027,5.49326881844417,8.77272427336508,-6.51221686751666
"metaG","A",82,61,3.46864989369133,0.0014692918013517,0.802447730411857,0.659387799451505,-1.32945485412066
"metaG","A",84,1628,17.4695415160726,0.0011555835697027,6.73400673400673,2.88924261099866,-2.34577628019031
"metaG","A",85,1243,20.1716426595391,0.0008697979392479,6.73400673400673,1.27230895755256,-2.54569763396381
"metaG","A",92,482,4.36893977676594,0.0019947828755562,6.73400673400673,7.59685843935146,-2.00051974840456
"metaG","A",98,16,0.73164477515919,0.0069138906348208,NA,NA,NA
"metaG","A",100,186,2.30482383760535,0.0032605151613955,5.78504974569246,4.71079813680274,-7.41943528491236
"metaG","A",102,53,0.947553568359998,0.0025137111517367,1.12521003055695,2.25768701770558,-1.52540678836135
"metaG","A",109,82,0.992490388853821,0.0031515915537346,6.73400673400673,7.09435499141855,-1.90595392266583
"metaG","A",110,30,0.500345502638115,0.0031142946122703,NA,NA,NA
"metaG","A",111,23,0.632585515971936,0.0042985541227041,NA,NA,NA
"metaG","A",122,231,3.65325410177797,0.0018946948544076,3.70600843226105,5.3163380645457,-7.21490651364836
"metaG","A",123,442,5.35310916847196,0.0007514841812579,3.08883753898392,3.18799775990851,-1.91858297850774
"metaG","A",124,54,1.6997472834612,0.0016175994823681,6.73400673400673,0.267031983429488,-2.74683421353595
"metaG","A",125,64,1.45446200670064,0.0015955325089748,2.46225546143318,1.07341978501881,-1.9713233480365
"metaG","A",128,27,0.910496723481329,0.0030871526953217,NA,NA,NA
"metaG","A",131,8,0.289070307674265,0.0093052109181141,NA,NA,NA
"metaG","A",132,34,0.972114565016258,0.0095044127630685,NA,NA,NA
"metaG","A",135,10,0.153890702240398,0.0016611295681063,NA,NA,NA
"metaG","A",136,30,0.943289321158826,0.0053789731051344,NA,NA,NA
"metaG","A",137,27,0.533975037019649,0.0042155977115326,NA,NA,NA
"metaG","A",138,27,0.776018042105542,0.0045892611289582,NA,NA,NA
"metaG","A",142,22,0.589953720261359,0.0063569682151589,NA,NA,NA
"metaG","A",143,23,0.559742643100162,0.0070005385029617,NA,NA,NA
"metaG","A",144,41,1.11944864762739,0.0040456050018389,NA,NA,NA
"metaG","A",145,70,0.93817889045968,0.0014251104460595,6.73400673400673,0.629726352768022,-2.91160891563097
"metaG","A",146,34,1.32115413752697,0.0045475216007276,NA,NA,NA
"metaG","A",147,29,0.996903491125697,0.0068114091102596,NA,NA,NA
"metaG","A",148,34,1.52421793293086,0.0059660394676457,NA,NA,NA
"metaG","A",149,87,2.04552008951476,0.002356637863315,0.00245511783892227,0.951584484633983,-1.22461219183737
"metaG","A",150,40,1.54869554434745,0.0032537960954446,NA,NA,NA
"metaG","A",151,21,0.419937304824292,0.0045475216007276,NA,NA,NA
"metaG","A",152,88,1.6079643248506,0.0031959092361776,4.60575314653016,0.485269637926801,-2.71832919246896
"metaG","A",155,1428,36.1191415469162,0.0010981770261366,2.49723833257018,14.0008352726161,-0.850468111750509
"metaG","A",158,450,3.54449956980766,0.0014643432420559,6.73400673400673,2.8308602584025,-2.54077160560486
"metaG","A",168,33,0.791288037238547,0.0025042836430736,NA,NA,NA
"metaG","A",173,4452,138.144776257861,0.0011385631333257,2.55380304754267,0.952707388829124,-1.89359971534221
"metaG","A",175,1701,52.8176983289616,0.0007704753833115,4.07791372924059,2.47489605347532,-1.73420623420844
"metaG","A",178,11,0.404479646088532,0.0047210300429184,NA,NA,NA
"metaG","A",180,196,3.38155429467488,0.0020145044319097,6.73400673400673,2.18333214613481,-2.45105791193249
"metaG","A",188,6252,343.331082987727,0.0010755579456843,6.73400673400673,-0.0124657871944107,-2.74156100570635
"metaG","A",189,630,23.1425683283367,0.0008787346221441,2.25946903557942,6.00135035766959,-1.03033793538783
"metaG","A",191,1109,10.1585576942572,0.0010544815465729,4.17131166253192,3.82717899768818,-7.18552511524568
"metaG","A",193,971,13.9853107866723,0.0010391409767925,6.50280560805754,1.95111527139562,-2.40336907847249
"metaG","A",194,2954,39.9556798496819,0.0013728720483251,6.73400673400673,3.36061970077632,-2.19586577896031
"metaG","A",196,1505,21.526971314036,0.0009859281168772,6.73400673400673,2.30614910224538,-2.32639643063796
"metaG","A",201,1764,72.1342993368639,0.0011075423634954,1.01309676156072,222.758211564136,0.943230199202414
"metaG","A",205,6977,307.534022188458,0.0011068068622025,2.13509389991078,1.65778770561782,-1.47228822043396
"metaG","A",206,375,6.73965602957394,0.0013342228152101,6.73400673400673,1.23461712694571,-2.55466456690595
"metaG","A",208,60,1.92868228906565,0.0016761649346295,6.73400673400673,-0.106569996653493,-3.25253070940368
"metaG","A",209,631,12.7156902015459,0.0013561160835367,6.73400673400673,1.05367376225979,-2.59319458932883
"metaG","A",210,183,2.15909696970825,0.000724112961622,5.13265471464355,2.089496561411,-13.2387429125392
"metaG","C",7,82,2.67534736572302,0.0005382131324004,0.682730850815373,171.256603128878,0.889355141108636
"metaG","C",11,32,3.85018604137976,0.0041693393200769,NA,NA,NA
"metaG","C",18,51,1.75236200165956,0.003545718276566,1.95195047554445,4.47798758840584,-1.11397992187852
"metaG","C",22,118,4.50586341203045,0.0009274717121127,1.01010884554451,4.91481208326831,-0.744351081225784
"metaG","C",23,89,2.46011511674323,0.001262284735371,1.33533657661789,1.80820093566058,-1.43536647122514
"metaG","C",25,83,5.00313035379687,0.0015258439824527,1.99372211123793,0.164019168010822,-2.04256150589683
"metaG","C",26,79,3.3992668788767,0.0024119633381572,2.83817784345249,0.513790213890619,-2.06053473370932
"metaG","C",30,65,2.88512655433156,0.0012893521005694,2.68182696973238,4.58040126059525,-1.12885663789231
"metaG","C",36,210,23.6519788833316,0.0004426606858289,1.80512520169054,-0.161841802893611,-2.28233618403117
"metaG","C",38,43,1.08961826323083,0.0046865846514352,NA,NA,NA
"metaG","C",39,168,4.49343940072365,0.0002020944332169,0.929578133382282,5.55931211635373,-0.8010432075347
"metaG","C",41,106,3.32152452946493,0.0012418075198344,6.73400673400673,0.768899630202672,-2.47555027619146
"metaG","C",46,140,2.52461383413214,0.0009956617594765,4.32663938369362,0.830116830899114,-2.42315491142086
"metaG","C",51,71,2.28473516103039,0.0010744600838078,1.91834353630359,256.421378505342,0.632867610424302
