"station","N_10","S_10","nmin","zeta","zeta_low","zeta_high","alpha","alpha_low","alpha_high","logk","logk_low","logk_high","logN_mean","logN_low","logN_high","KS","p_KS","CvM","p_CvM","data","rejected"
7,52.6026410101821,1121,0.0005382131324004,2.59227405369246,2.18210402895776,3.19958768871263,1.44303213080922,1.07722125317231,1.9846265532749,-1.58514371604852,-1.76591401533789,-1.41002611974557,1.71813958449369,1.67899219636183,1.76347914804207,0.0257023763962115,0.02125,0.143550549583244,0.0065,"metaG",0
11,24.3142224339547,325,0.00250501002004,2.68897873957796,1.69210257211813,5.15819405249638,0.76064741964766,0.380608933841921,1.55417760845021,-1.632023150327,-2.06771519205376,-1.2314260697944,1.42188511164729,1.31738947840449,1.59559912376585,0.0263545178455056,0.674,0.0311564685503893,0.69,"metaG",0
18,40.62982597862,1039,0.0015292645627693,6.01751205373264,4.3066366162746,6.73400673400673,1.21400591626302,0.992619048186737,1.61483766886708,-2.10735128840267,-2.20943792792717,-1.87119553866255,1.60391067200676,1.56189807597211,1.65738557746787,0.0156061774364727,0.6805,0.0287171793153343,0.79425,"metaG",0
22,67.5258174704299,1422,0.0009274717121127,2.47923989393937,2.08460297553673,3.0272775666218,1.22370776190149,0.934719655834498,1.6514879122826,-1.62396913318808,-1.78474865469827,-1.45429730715651,1.83467171528281,1.79485676519985,1.88575931212918,0.0307393312572689,5e-04,0.415618901036166,0.00025,"metaG",1
23,46.9886810703787,1282,0.001262284735371,3.90470914416589,3.07110134745834,5.31039473777861,1.17581524874318,0.898199831359428,1.56384487449796,-1.9657589025735,-2.16749155139681,-1.77574010182883,1.66273693249319,1.62143908614585,1.71641916525544,0.0151842257525938,0.5345,0.0411103008002612,0.5035,"metaG",0
25,113.902613654964,1524,0.0008325701440346,5.38121643871741,4.00576738360343,6.73400673400673,0.369696835037065,0.254861948746805,0.520016393502327,-2.22356786844481,-2.37327467425293,-2.0305111488108,2.10079462941091,1.99518915128732,2.3544386960673,0.0133036212223263,0.6435,0.0563026434804363,0.30125,"metaG",0
26,71.0191007988322,1357,0.0017344686218858,5.993186091837,4.29146783235602,6.73400673400673,0.735324893966835,0.585349958045952,0.963163862257337,-2.18672416028274,-2.28431940518856,-1.9678122536832,1.85421416433973,1.79484374905498,1.95025723847763,0.0249439928679686,0.02025,0.135760070711765,0.0165,"metaG",0
30,57.6609577070839,1210,0.0012893521005694,5.85021819809833,4.40661610213474,6.73400673400673,1.310588407864,1.06964049220629,1.67857203298201,-1.99809407504375,-2.11667282872646,-1.79800214375043,1.7341220759399,1.69735785508055,1.7799304914527,0.0180266340137737,0.316,0.0911032814618989,0.078,"metaG",0
36,260.481933294752,2004,0.0004426606858289,2.72011838099872,2.24819583160072,3.45362216022515,-0.00220454132748482,-0.0792669453504788,0.0845111096383615,-2.12663119084676,-2.28033851662461,-1.9849585053344,2.61608658294736,2.35360832223664,3.28911413643945,0.021202971485259,0.0075,0.185227401991693,0.0015,"metaG",0
38,48.8240197797859,679,0.0024313153415998,6.66666666666667,4.14920397060473,6.73400673400673,0.972620322350619,0.769771943113934,1.40475292062889,-2.15635316566074,-2.2143843562504,-1.84401941676522,1.50992382298987,1.44741859365776,1.60137251726764,0.0309865407161112,0.08075,0.0979010415732707,0.08425,"metaG",0
39,62.1441358994925,1560,0.0002020944332169,2.06837531942193,1.81145017687132,2.39270017295165,1.71870378282232,1.31749966389703,2.30215924978977,-1.48087901451339,-1.62665073923918,-1.32575216175284,1.79224431134437,1.7608118733347,1.82836713686014,0.0188609264050296,0.0845,0.0656638892448194,0.17225,"metaG",0
41,62.4195625313353,864,0.000915827158438,6.66666666666667,4.08602565768647,6.73400673400673,0.134230708166642,0.0392294298415335,0.28951715147897,-2.50967574796116,-2.56054166716465,-2.21546142422575,1.95662226755228,1.75475991372331,2.47070291046348,0.0553712492903097,0.00025,0.501226673386568,0.00025,"metaG",1
46,33.5601169866468,1127,0.0008202410246703,6.04333831714384,4.29496528099248,6.73400673400673,0.737774880315964,0.587863196373853,0.989716253645757,-2.41121516167083,-2.50969195957071,-2.19095268790501,1.54989239186611,1.4880394104537,1.65141539984944,0.0426089796856067,0.00025,0.458716892403462,0.00025,"metaG",1
51,17.9868926221849,624,0.0010744600838078,4.84121683687244,3.53527829174697,6.73400673400673,2.0237867714739,1.48651455433195,3.02797769988422,-1.93075861439981,-2.16703410966989,-1.65402341663979,1.24289656236741,1.20540602124949,1.28539656054222,0.0278059939695685,0.1515,0.0884040599932781,0.07125,"metaG",0
52,41.3591507144317,1343,0.0007077641729775,3.01310175827893,2.53990321677941,3.71964933533024,1.90860780096664,1.48317552324472,2.58582674305456,-1.71667276963611,-1.88979806953361,-1.53963697978308,1.60961029510035,1.58008052936438,1.64268066021823,0.0226183303327057,0.03,0.144352830685974,0.00775,"metaG",0
64,115.108676841927,3506,0.0005317349059796,4.99872200097227,4.25487498326429,6.13588491222101,1.05314108989877,0.90209542120659,1.2307350529288,-2.15946836915079,-2.29028736364045,-2.04514351102808,2.06172921372835,2.03260386244521,2.10002598201784,0.0397547624871044,0.00025,1.38215124342229,0.00025,"metaG",1
65,178.295167282992,3827,0.0006787463849377,2.67614115116442,2.402052165177,3.04470305049578,0.798120257719189,0.664606374148518,0.955984578418361,-1.80941310767587,-1.90989996483891,-1.71440745051246,2.29801448729432,2.25837909058629,2.35994266983205,0.0233763481259363,0.00025,0.73555027659381,0.00025,"metaG",1
66,319.878362660595,3651,0.0005059814232534,3.79168211181435,3.15662488520472,4.72747071385969,-0.0339151127414492,-0.0872096423032548,0.0252062172931357,-2.36156731903686,-2.49351941638225,-2.24356324123595,2.90463156275679,2.62935046144077,3.67365543855654,0.0303618983683714,0.00025,0.870277317092906,0.00025,"metaG",1
67,124.958231622397,3486,0.0008810572687224,6.66666666666667,4.37269443432263,6.73400673400673,-0.0121357405160007,-0.0529280747368321,0.0529959866003187,-2.98289626328828,-3.01168030853459,-2.75451007129767,2.45387976347726,2.19518538014274,3.18876574135857,0.070791853777901,0.00025,4.93969268098399,0.00025,"metaG",1
68,40.3839465258853,977,0.0002586117720078,2.72939184776415,2.2401937240189,3.52841015635542,0.99540789368533,0.717889718941325,1.40881524285721,-1.85551500622735,-2.05544920893841,-1.67128565578215,1.5699450869596,1.51506143943229,1.65056807101706,0.0189675882195761,0.37025,0.0409419996888658,0.51075,"metaG",0
70,42.0624549705193,1355,0.0009595394210778,2.83996196373588,2.40081869112749,3.4697744124396,2.49974650263058,1.91169102527952,3.43733634658391,-1.56884688659801,-1.74812911598005,-1.38039356037528,1.61869917975618,1.59262728426315,1.64506474532955,0.015387160446464,0.445,0.0589454792345882,0.23675,"metaG",0
