"station","N_10","S_10","nmin","zeta","zeta_low","zeta_high","alpha","alpha_low","alpha_high","logk","logk_low","logk_high","logN_mean","logN_low","logN_high","KS","p_KS","CvM","p_CvM","data","subset","rejected"
7,13.8528738523629,375,0.0005382131324004,2.30341215060247,1.71907018256936,3.43776366565986,1.39770695539856,0.831212706084657,2.58051362815158,-1.66589767323265,-1.98631454966026,-1.33138404700871,1.12396925597562,1.05544579360218,1.20796501263993,0.0425114750091277,0.027,0.118586062617529,0.01725,"metaG","core",0
11,9.45073872145217,137,0.0026905829596412,1.85171312076233,0.865044311878952,6.0836828815143,0.811346185903493,0.233449797331453,3.80207161614895,-1.49982274203072,-2.24941763848829,-0.659824380484572,0.994771178410488,0.84717578452332,1.24327894327521,0.0465330504900818,0.39,0.0532686824696731,0.2685,"metaG","core",0
18,13.1172036906831,376,0.0015292645627693,4.29828148281149,2.78541873317292,6.73400673400673,1.45722067598956,0.963431739570532,2.49125634756078,-1.95225751406218,-2.26762630435781,-1.58490743820711,1.0909103139092,1.03268341682334,1.1655309689078,0.0287111703759343,0.4465,0.0337574784022508,0.65275,"metaG","core",0
22,17.1899615648353,485,0.0009274717121127,1.63642854983211,1.28241153166229,2.16542296005696,2.40290498541961,1.44443709029616,5.33188676370633,-1.2813492969746,-1.57812332345336,-0.867557351810708,1.23968693142623,1.19039006651401,1.29168837019598,0.0514022837617174,0.00075,0.327413129802926,0.00025,"metaG","core",1
23,12.12044335653,471,0.001262284735371,3.02322504235273,2.20256947848211,4.68684848737349,1.99342366377593,1.29736045961609,3.46194805033455,-1.77333633887827,-2.10086707996268,-1.43010646740367,1.0811443889824,1.03578477186067,1.13274683353807,0.0249650735465366,0.478,0.0679205199492359,0.1495,"metaG","core",0
25,25.037487170318,488,0.0008325701440346,3.89220054333689,2.63903490545198,6.73400673400673,0.519972714666689,0.283192381680789,0.876702542839123,-2.10970139680109,-2.44068894973302,-1.81849127906974,1.43720549545788,1.32228071942728,1.64478846107417,0.0455884354545946,0.0025,0.158124643576935,0.0035,"metaG","core",0
26,17.9610935669196,462,0.0017344686218858,4.71132670110393,2.90149470143758,6.73400673400673,0.933417571749659,0.625419263769695,1.53258407599559,-2.10421375337814,-2.35371450440578,-1.75163976466173,1.26072086452006,1.1880161558975,1.36651974410447,0.0321766602365277,0.149,0.130217122715556,0.01425,"metaG","core",0
30,17.0164784090456,423,0.0012893521005694,3.93151005584188,2.76549665187575,6.68611195761135,1.65332001759583,1.09845054649182,2.72117581528517,-1.78243012006377,-2.12366161259174,-1.4508414972277,1.21847477609705,1.16619591802032,1.28120317377983,0.0289812944337517,0.34075,0.0811832515552714,0.096,"metaG","core",0
36,85.7836481841334,776,0.0004426606858289,2.63339578749294,1.94797378101617,4.10967989348884,-0.0470433307907978,-0.152275352333613,0.0972459665789721,-2.24600722281702,-2.52433233887214,-2.01565546073657,2.13017199642366,1.80105542091935,2.93722967634286,0.0333429262039846,0.009,0.160278725343589,0.0035,"metaG","core",0
38,9.42852422457682,260,0.0037926675094816,3.50792224225561,1.80220571313097,6.73400673400673,1.74070144286305,1.02010020134609,4.48432326802749,-1.75332975070073,-2.20047618525967,-1.12412924901904,0.972293241004509,0.908070667560109,1.04868163735545,0.0334880133211714,0.4615,0.0402156945549006,0.4805,"metaG","core",0
39,23.377578636684,611,0.0002020944332169,1.84769793885547,1.5124535724044,2.36457051461857,1.25937261404725,0.813667052346754,2.01260247560741,-1.59365660718367,-1.82356597137594,-1.35496988436952,1.35825968461936,1.29828313732734,1.43875763335555,0.0248604769330313,0.29725,0.0446059968704622,0.434,"metaG","core",0
41,16.5266377361764,357,0.000915827158438,6.73400673400673,3.43891175783147,6.73400673400673,0.337275247559815,0.174223022644252,0.693091188206774,-2.57862406892042,-2.64584452700772,-2.14895069367117,1.22708811295852,1.06171558566496,1.57795220834501,0.077828260373622,0.00025,0.496834253217167,0.00025,"metaG","core",1
46,10.7340469746813,484,0.0008202410246703,3.54438684499566,2.49806667341978,5.9062847430321,1.30076007857529,0.850416663165092,2.09305322081581,-2.08105075771503,-2.42509547034009,-1.77209495384203,1.03857336787674,0.978697720293258,1.11179518430482,0.0452160949949185,0.0015,0.193635145323559,0.001,"metaG","core",0
51,8.78971991926293,297,0.0010744600838078,4.6395403281341,2.9298451430139,6.73400673400673,1.60355439179935,1.04238332567965,2.96972651069188,-2.02064864283871,-2.3140898077413,-1.60490161959763,0.912781657005836,0.851240568194778,0.990164720819738,0.0257465451911592,0.80475,0.02446577435042,0.866,"metaG","core",0
