station,N_10,S_10,nmin,alpha,alpha_low,alpha_high,beta,beta_low,beta_high,logk,logk_low,logk_high,logN_mean,logN_low,logN_high,KS,p_KS,CvM,p_CvM
7,747.4565481370763,1121,0.00764773255449619,2.592274053692456,0.0,0.0,1.4430321308092209,0.0,0.0,-0.4325653143792849,1.152578401669231,1.152578401669231,-inf,,,0.227773698996977,0.002,23.614725089962672,0.002
11,315.79733921621397,325,0.03253550473133184,2.6889787395779634,0.0,0.0,0.7606474196476598,0.0,0.0,-0.518475069271811,1.1135480810551923,1.1135480810551923,-inf,,,0.3541987074203652,0.002,18.677633204266204,0.002
18,580.1058504049806,1039,0.02183458329716472,6.017512053732637,0.0,0.0,1.2140059162630243,0.0,0.0,-0.9526890052312085,1.1546622831714586,1.1546622831714586,-inf,,,0.5250840674134408,0.002,126.30367740012132,0.002
22,1694.2312424509748,1422,0.0232703817593758,2.479239893939368,0.0,0.0,1.223707761901491,0.0,0.0,-0.22446629758573455,1.399502835602348,1.399502835602348,-inf,,,0.2191372957743335,0.002,34.40417465180957,0.002
23,784.6867509091986,1282,0.021079504364827757,3.904709144165889,0.0,0.0,1.1758152487431826,0.0,0.0,-0.743055837715934,1.222703064857567,1.222703064857567,-inf,,,0.41264415898687,0.002,99.92157647413698,0.002
25,2274.9287049901777,1524,0.016628571187308976,5.381216438717414,0.0,0.0,0.3696968350370653,0.0,0.0,-0.9231337674761859,1.3004341009686222,1.3004341009686222,-inf,,,0.6585111339971129,0.002,292.41228381597114,0.002
26,1258.4944720848705,1357,0.030735663336979864,5.993186091836996,0.0,0.0,0.7353248939668353,0.0,0.0,-0.9382480172498566,1.2484761430328828,1.2484761430328828,-inf,,,0.5598274300196779,0.002,190.0257815504782,0.002
30,838.2346232814896,1210,0.018743697907140557,5.850218198098329,0.0,0.0,1.3105884078640029,0.0,0.0,-0.835610331073108,1.1624837439706397,1.1624837439706397,-inf,,,0.5462409928791037,0.002,159.19690185016387,0.002
36,7356.55490342608,2004,0.012501664118116228,2.7201183809987217,0.0,0.0,-0.0022045413274848,0.0,0.0,-0.675734316852677,1.4508968739940873,1.4508968739940873,-inf,,,0.5994395393270224,0.002,350.3406354348993,0.002
38,1524.9147742076968,679,0.07593698146702714,6.666666666666667,0.0,0.0,0.9726203223506188,0.0,0.0,-0.6617411264274289,1.4946120392333084,1.4946120392333084,-inf,,,0.5121174625813352,0.002,80.68110653053286,0.002
39,1182.6202681208892,1560,0.003845913525666404,2.0683753194219325,0.0,0.0,1.7187037828223204,0.0,0.0,-0.20143385033701766,1.2794451641763678,1.2794451641763678,-inf,,,0.1100258013008934,0.002,6.916397228866452,0.002
41,1892.5434820016792,864,0.02776762042303404,6.666666666666667,0.0,0.0,0.1342307081666418,0.0,0.0,-1.0279506021506672,1.4817251458104965,1.4817251458104965,-inf,,,0.6854412354380508,0.002,175.8798797333779,0.002
46,1406.9004279187088,1127,0.0343859781258894,6.043338317143844,0.0,0.0,0.7377748803159636,0.0,0.0,-0.7887752659993155,1.6224398956715114,1.6224398956715114,-inf,,,0.5936693520681824,0.002,174.26147715715254,0.002
51,373.74451880214883,624,0.022325900055664104,4.841216836872441,0.0,0.0,2.023786771473896,0.0,0.0,-0.6131399242441813,1.3176186901556266,1.3176186901556266,-inf,,,0.4018655684778905,0.002,41.16149294716247,0.002
52,972.9616890216425,1343,0.01664994114419539,3.013101758278933,0.0,0.0,1.9086078009666425,0.0,0.0,-0.3451486418479148,1.371524127788196,1.371524127788196,-inf,,,0.2277971105602265,0.002,22.84205838041,0.002
64,2392.952387161711,3506,0.011054043426703967,4.998722000972274,0.0,0.0,1.053141089898774,0.0,0.0,-0.841642373449321,1.3178259957014697,1.3178259957014697,-inf,,,0.5871055959297368,0.002,508.47120040857,0.002
65,3870.2030952911327,3827,0.014733357050189301,2.676141151164424,0.0,0.0,0.7981202577191895,0.0,0.0,-0.47281892345808174,1.3365941842177875,1.3365941842177875,-inf,,,0.3697158004113656,0.002,272.581281213805,0.002
66,5875.347345057761,3651,0.009293584558311321,3.7916821118143496,0.0,0.0,-0.0339151127414492,0.0,0.0,-1.0975186366067895,1.2640486824300696,1.2640486824300696,-inf,,,0.629514663829084,0.002,724.5195875182534,0.002
67,2797.209422269964,3486,0.019722603798340014,6.666666666666667,0.0,0.0,-0.0121357405160008,0.0,0.0,-1.6329361513667875,1.3499601119214906,1.3499601119214906,-inf,,,0.5480309842806569,0.002,495.41965460423,0.002
68,746.0797511589668,977,0.004777765005772408,2.7293918477641474,0.0,0.0,0.9954078936853304,0.0,0.0,-0.5889385111282217,1.2665764950991272,1.2665764950991272,-inf,,,0.384865066910048,0.002,65.66095246815253,0.002
70,700.9814963104842,1355,0.015990968183560304,2.839961963735877,0.0,0.0,2.4997465026305754,0.0,0.0,-0.34703494911703614,1.2218119374809726,1.2218119374809726,-inf,,,0.1588705979175184,0.002,11.692165688116134,0.002
72,608.8561922270312,787,0.01912576906530074,3.500714274228754,0.0,0.0,1.85311956478547,0.0,0.0,-0.4031976910989723,1.3290641485582446,1.3290641485582446,-inf,,,0.2985507648551105,0.002,27.90017290143639,0.002
76,781.4956671476773,928,0.013038130406470734,3.373623378205659,0.0,0.0,0.7247326794205504,0.0,0.0,-0.6882411843721012,1.1591667387722795,1.1591667387722795,-inf,,,0.4957579335250819,0.002,105.90560357492627,0.002
78,763.8985524006605,591,0.024539407678494735,2.21133223872128,0.0,0.0,2.120209360845176,0.0,0.0,0.09591005438988343,1.5399755008357878,1.5399755008357878,-inf,,,0.1792243522110731,0.002,7.436660750427602,0.002
80,10133.204706662369,16343,0.011137868871712604,6.666666666666667,0.0,0.0,1.4122255183936177,0.0,0.0,-0.9807562252250652,1.3512766707089354,1.3512766707089354,-inf,,,0.6417066328767148,0.002,2623.5481331867845,0.002
81,2759.9535566456784,4589,0.014304242450714074,6.666666666666667,0.0,0.0,0.582793472793542,0.0,0.0,-1.3788982619969514,1.5434660974276013,1.5434660974276013,-inf,,,0.62306164739436,0.002,731.6188729611894,0.002
82,12457.067212746626,5341,0.020646983185572614,2.574801117880299,0.0,0.0,0.5755492483267499,0.0,0.0,-0.24628525927719158,1.4876637924694334,1.4876637924694334,-inf,,,0.4287049949323029,0.002,505.2504312484705,0.002
84,127709.84947071948,47402,0.036275308350308795,6.666666666666667,0.0,0.0,0.530967953152435,0.0,0.0,-0.796057116812869,1.8183281923480186,1.8183281923480186,-inf,,,0.6624638851504913,0.002,8850.5807172899,0.002
85,44471.27727858351,36493,0.021433518387353342,6.666666666666667,0.0,0.0,0.3538408852876686,0.0,0.0,-1.211373329284212,1.39167509347231,1.39167509347231,-inf,,,0.6257081648769407,0.002,6310.147907726156,0.002
92,9178.428278859983,11244,0.016222542848153984,6.666666666666667,0.0,0.0,1.1582804997896976,0.0,0.0,-0.9449814865826194,1.5480172555674296,1.5480172555674296,-inf,,,0.6463970385181917,0.002,1857.650675766457,0.002
98,655.0749224319485,490,0.05528878070573246,2.0077646736219785,0.0,0.0,0.8411002286986646,0.0,0.0,-0.19334438522571085,1.3405514836659422,1.3405514836659422,-inf,,,0.1671547539827196,0.002,7.6691130718130465,0.002
100,10152.972476341862,7533,0.015598799079863406,6.666666666666667,0.0,0.0,0.0776221126608722,0.0,0.0,-1.3462034582998499,1.23740221955869,1.23740221955869,-inf,,,0.6989279102592271,0.002,1529.3219309410172,0.002
102,13663.59648722103,4714,0.003524787068557644,1.626441527489585,0.0,0.0,0.0978713333317113,0.0,0.0,-0.24775268042916965,1.2829712208236959,1.2829712208236959,-inf,,,0.4187308476476,0.002,453.1933260746916,0.002
109,2232.5539606074626,3246,0.017430141654016462,6.666666666666667,0.0,0.0,1.1014265691223954,0.0,0.0,-0.9476631482051996,1.3874954208537642,1.3874954208537642,-inf,,,0.6193026506954202,0.002,518.0006729008932,0.002
110,6033.115925573457,3946,0.019162748917458935,2.3783376017860927,0.0,0.0,0.6490374240801429,0.0,0.0,-0.3185208821236396,1.3194017227304813,1.3194017227304813,-inf,,,0.3519109613633533,0.002,269.1855890084705,0.002
111,4148.638400127435,2820,0.024068249182517855,2.8209813557047223,0.0,0.0,0.3794239642853245,0.0,0.0,-0.5570240834502529,1.279389744330404,1.279389744330404,-inf,,,0.4638575813491632,0.002,318.5979146242606,0.002
122,18646.516981932946,11189,0.0059305563447201014,6.666666666666667,0.0,0.0,0.0247400513772055,0.0,0.0,-1.3214209482875638,1.2419393564895054,1.2419393564895054,-inf,,,0.7865698773536254,0.002,2794.0333725639266,0.002
123,5568.568983518073,13332,0.0035337395403356067,6.666666666666667,0.0,0.0,0.5115231694421472,0.0,0.0,-1.493940781656157,1.0584711412764483,1.0584711412764483,-inf,,,0.7069049454283346,0.002,2869.319445559977,0.002
124,5567.528902558247,4588,0.006089020705337913,2.167195285833621,0.0,0.0,0.1536527645581138,0.0,0.0,-0.6912436884045383,1.0526571806570832,1.0526571806570832,-inf,,,0.4660003406817593,0.002,570.1398827201067,0.002
125,4959.666315312802,6502,0.00341655976540462,3.1971075095347445,0.0,0.0,0.1216386052824876,0.0,0.0,-1.1193373893205298,0.8397056447856089,0.8397056447856089,-inf,,,0.6204949951731483,0.002,1207.4591734202231,0.002
128,1061.1451051022368,1942,0.01586007079260585,2.66449425676799,0.0,0.0,1.1080737787317672,0.0,0.0,-0.6169669684453334,1.0811187137724343,1.0811187137724343,-inf,,,0.2665528680842115,0.002,69.4731321609912,0.002
131,1930.4888363079622,736,0.03036521598605365,5.7264450839301535,0.0,0.0,-0.1136686652303844,0.0,0.0,-1.157032485448381,1.3124398634462509,1.3124398634462509,-inf,,,0.633868261864452,0.002,139.38136090568585,0.002
132,859.2807487492692,1267,0.02220373587465224,5.101630421014286,0.0,0.0,0.8720508869216943,0.0,0.0,-0.9166903690595845,1.158609910986175,1.158609910986175,-inf,,,0.5249882104817903,0.002,160.0210692695602,0.002
135,1065.7163506161282,994,0.04297587464052298,2.375388183190046,0.0,0.0,1.4850908499066438,0.0,0.0,-0.18439203307452345,1.4870243000406544,1.4870243000406544,-inf,,,0.1329507111014226,0.002,6.049524536496809,0.002
136,813.7029975156751,1528,0.011319204878020232,2.9397893268886595,0.0,0.0,1.248783583236852,0.0,0.0,-0.6372270213082389,1.1155981423835886,1.1155981423835886,-inf,,,0.317684541023679,0.002,69.56572802569221,0.002
137,1138.3007540746987,1604,0.010352549273694318,2.2761090911068576,0.0,0.0,2.1053878259859937,0.0,0.0,-0.18684464809308587,1.266612529879441,1.266612529879441,-inf,,,0.1651751646158232,0.002,15.922089666438003,0.002
138,463.05959222591014,917,0.011635498860934618,2.618336653225036,0.0,0.0,2.825287927615322,0.0,0.0,-0.2797283199983682,1.229908986566184,1.229908986566184,-inf,,,0.2533999260373027,0.002,24.03350897909016,0.002
142,629.9107280243383,749,0.006584006605760183,2.1628994448650447,0.0,0.0,4.194948740173347,0.0,0.0,0.20746259580848703,1.4403852399441748,1.4403852399441748,-inf,,,0.6046629606114924,0.002,131.5941736550175,0.002
143,406.99544067580746,749,0.01557915066326733,2.8444802869922903,0.0,0.0,3.0113802483070407,0.0,0.0,-0.2602888791027873,1.2401621868321402,1.2401621868321402,-inf,,,0.2477443054572022,0.002,16.82053470861733,0.002
144,828.4316030620371,1498,0.011633434860767755,2.468878616547122,0.0,0.0,2.4287480179697023,0.0,0.0,-0.26600097802244504,1.179918490685438,1.179918490685438,-inf,,,0.1924836498457527,0.002,22.39581128088131,0.002
