station,N_10,S_10,nmin,alpha,alpha_low,alpha_high,beta,beta_low,beta_high,logk,logk_low,logk_high,logN_mean,logN_low,logN_high,KS,p_KS,CvM,p_CvM
7,386.2994285758196,441,0.0038084224878046635,3.1638568084918504,0.0,0.0,0.2261025384124151,0.0,0.0,-1.0102085418207754,0.85064704362734,0.85064704362734,-inf,,,0.618454814703953,0.002,77.47724695078298,0.002
11,324.1840532807556,167,0.06617550761976462,1.1433216934635648,0.0,0.0,0.8095662018967749,0.0,0.0,0.06226638588175182,1.1683524891326313,1.1683524891326313,-inf,,,0.1577685622951949,0.002,1.0361672919600493,0.002
18,337.9770174520763,368,0.01828314230666333,3.1673013033262287,0.0,0.0,0.0922257830548654,0.0,0.0,-1.129362809402651,0.790581900236948,0.790581900236948,-inf,,,0.5038823510378236,0.002,45.368770094882926,0.002
22,462.2686096710493,608,0.010670904537967985,2.189994900577561,0.0,0.0,1.0202653334865763,0.0,0.0,-0.4502447902002289,1.0731719400122919,1.0731719400122919,-inf,,,0.2128278728429012,0.002,14.21715962875728,0.002
23,342.5089772623364,618,0.005819884115008633,6.666666666666667,0.0,0.0,0.057871283732712,0.0,0.0,-1.7619688361182013,0.5875960153392717,0.5875960153392717,-inf,,,0.6740528771791074,0.002,125.69048294933256,0.002
25,412.500398003758,792,0.0023277257803463965,3.5590421294188204,0.0,0.0,0.5662503800419341,0.0,0.0,-1.04915074101967,0.6802994330850337,0.6802994330850337,-inf,,,0.5965150927050917,0.002,127.65773028447896,0.002
26,605.3319683350076,587,0.03763548214298724,5.230479063117356,0.0,0.0,1.07418893247434,0.0,0.0,-0.6716675233306024,1.4631585250228445,1.4631585250228445,-inf,,,0.5139656719634389,0.002,68.31629842035635,0.002
30,369.2565899284764,535,0.023709705914692243,6.666666666666667,0.0,0.0,0.1627469265814352,0.0,0.0,-1.535399733289829,0.7787613413004142,0.7787613413004142,-inf,,,0.5110968960394127,0.002,65.19649533360872,0.002
36,1553.0809859118328,580,0.006473193066917335,1.5696990819848318,0.0,0.0,0.4613080895782346,0.0,0.0,-0.15293459616519867,1.3570775850706673,1.3570775850706673,-inf,,,0.2585342312724694,0.002,19.05070986650165,0.002
38,184.95048669771927,432,0.0186658421075304,3.1768882227368,0.0,0.0,0.676069717886506,0.0,0.0,-0.9989088749187874,0.5439435636440865,0.5439435636440865,-inf,,,0.3622170419571709,0.002,29.672451646022022,0.002
39,761.7939118824372,640,0.0032550814935181855,1.5768580714904683,0.0,0.0,0.4933411108341121,0.0,0.0,-0.5167829426911958,0.6992828241974405,0.6992828241974405,-inf,,,0.2610176613147781,0.002,19.66777571751027,0.002
41,432.9184742676205,325,0.0031314188019831326,2.394827340826399,0.0,0.0,-0.0513265046597788,0.0,0.0,-1.1923314400055531,0.5779428864829891,0.5779428864829891,-inf,,,0.5934930886078481,0.002,56.12742847226805,0.002
46,1635.0286250776544,423,0.009254146147346784,2.448786389658652,0.0,0.0,0.3231062887437916,0.0,0.0,-0.6745873994893354,1.2984155586896036,1.2984155586896036,-inf,,,0.4962066458144414,0.002,50.125366946839286,0.002
