station,N_10,S_10,nmin,alpha,alpha_low,alpha_high,beta,beta_low,beta_high,logk,logk_low,logk_high,logN_mean,logN_low,logN_high,KS,p_KS,CvM,p_CvM
7,52.60264101018212,1121,0.0005382131324004,2.592274053692456,0.0,0.0,1.4430321308092209,0.0,0.0,-1.585143716048516,0.0,0.0,-inf,,,0.22777369899697703,0.002,23.614725089962672,0.002
11,24.31422243395466,325,0.00250501002004,2.6889787395779634,0.0,0.0,0.7606474196476598,0.0,0.0,-1.6320231503270033,0.0,0.0,-inf,,,0.3541987074203652,0.002,18.677633204266204,0.002
18,40.629825978620005,1039,0.0015292645627693,6.017512053732637,0.0,0.0,1.2140059162630243,0.0,0.0,-2.107351288402667,0.0,0.0,-inf,,,0.5250840674134408,0.002,126.30367740012133,0.002
22,67.52581747042993,1422,0.0009274717121127,2.4792398939393676,0.0,0.0,1.2237077619014913,0.0,0.0,-1.6239691331880826,0.0,0.0,-inf,,,0.21913729577433358,0.002,34.40417465180957,0.002
23,46.98868107037872,1282,0.001262284735371,3.904709144165889,0.0,0.0,1.1758152487431826,0.0,0.0,-1.965758902573501,0.0,0.0,-inf,,,0.41264415898687,0.002,99.92157647413698,0.002
25,113.90261365496389,1524,0.0008325701440346,5.381216438717414,0.0,0.0,0.3696968350370653,0.0,0.0,-2.223567868444808,0.0,0.0,-inf,,,0.6585111339971129,0.002,292.41228381597114,0.002
26,71.01910079883216,1357,0.0017344686218858,5.993186091836996,0.0,0.0,0.7353248939668353,0.0,0.0,-2.1867241602827394,0.0,0.0,-inf,,,0.5598274300196779,0.002,190.0257815504782,0.002
30,57.66095770708388,1210,0.0012893521005694,5.850218198098329,0.0,0.0,1.3105884078640027,0.0,0.0,-1.9980940750437475,0.0,0.0,-inf,,,0.5462409928791037,0.002,159.19690185016387,0.002
36,260.481933294752,2004,0.0004426606858289,2.7201183809987217,0.0,0.0,-0.0022045413274848213,0.0,0.0,-2.1266311908467643,0.0,0.0,-inf,,,0.5994395393270224,0.002,350.3406354348993,0.002
38,48.8240197797859,679,0.0024313153415998,6.666666666666667,0.0,0.0,0.9726203223506189,0.0,0.0,-2.1563531656607373,0.0,0.0,-inf,,,0.5121174625813352,0.002,80.68110653053286,0.002
39,62.14413589949252,1560,0.0002020944332169,2.0683753194219325,0.0,0.0,1.7187037828223204,0.0,0.0,-1.4808790145133854,0.0,0.0,-inf,,,0.11002580130089346,0.002,6.916397228866452,0.002
41,62.41956253133529,864,0.000915827158438,6.666666666666667,0.0,0.0,0.13423070816664184,0.0,0.0,-2.5096757479611633,0.0,0.0,-inf,,,0.6854412354380508,0.002,175.8798797333779,0.002
